Price,Rooms,Type,Status,Parking Spaces,Land Size,Building Size,Architecture Style,County,Provider
"USD $4,000 per month","3 bedroom(s), 3 bathroom(s), 1 basement(s)",House,Active,,"6,110.76 m2",188.04 m2,Bungalow,Oakland,Real Estate One
"USD $1,565 per month","2 bedroom(s), 1 bathroom(s)",Townhouse,Active,,"4,330.14 m2",77.11 m2,Other,,"La Rosa Realty, Llc"
"USD $1,349 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Flushing Estates
"USD $1,199 per month",,Other,Active,,,,Other,,Green Level
"USD $2,000 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,123.19 m2,Ranch,St. Tammany,Real Estate Resource Group LLC
"USD $1,900 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,Carnegie Real Estate LLC
"USD $1,300 per month","1 bedroom(s), 1 bathroom(s)",Townhouse,Active,,,52.95 m2,Other,Orleans,"Soniat Realty, Inc."
"USD $1,600 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,"1,780.62 m2",108.14 m2,Bungalow,Wayne,Keller Williams Professionals
"USD $1,050 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,,96.62 m2,Other,Tangipahoa,CLASSIC HOMES & PROPERTIES
"USD $3,600 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,,Other,,Prominent Properties Sothebys International Realty
"USD $3,300 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,,,,Other,,Carnegie Real Estate LLC
"USD $2,150 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,323.75 m2,138.05 m2,Other,Clark,Lantana Real Estate
"USD $2,700 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,Lencioni Real Estate LLC
"USD $2,600 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,REMAX Signature Homes
"USD $3,700 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,,Other,,Carnegie Real Estate LLC
"USD $3,000 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,,Other,,Carnegie Real Estate LLC
"USD $1,850 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,Real Estate Limited Inc.
"USD $6,000 per month","3 bedroom(s), 4 bathroom(s)",Other,Active,,,,Other,,Carnegie Real Estate LLC
"USD $2,000 per month","3 bedroom(s), 3 bathroom(s)",House,Active,2,445.15 m2,157.66 m2,Other,Clark,Go Global Realty
"USD $2,300 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,51.10 m2,Bungalow,Monmouth,C21/ Thomson & Co.
"USD $2,250 per month","4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,687.97 m2,187.57 m2,Colonial,Monmouth,"Diane Turton, Realtors"
"USD $3,400 per month","3 bedroom(s), 2 bathroom(s)",Other,Active,,,,Colonial,Monmouth,"Kline Realty Services, LLC"
"USD $2,950 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,930.78 m2,,Ranch,Ocean,KWPRF
"USD $3,200 per month","2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,,,116.13 m2,Other,Monmouth,Better Homes and Gardens Real Estate Preferred Properties
"USD $3,250 per month","5 bedroom(s), 2 bathroom(s)",House,Active,,"1,173.59 m2",188.22 m2,Other,Monmouth,G & G Agency Inc
"USD $2,850 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,80.94 m2,147.90 m2,Other,Monmouth,Rimos International Inc DBA Re/Max Central
"USD $2,900 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,,139.35 m2,Other,Monmouth,RE/MAX Elite
"USD $1,100 per month",1 bathroom(s),House,Active,,404.69 m2,74.14 m2,Bungalow,Monmouth,"Rizzolo Realty Advisors, LLC"
"USD $2,750 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,404.69 m2,109.63 m2,Other,Burlington,NextHome Force Realty Partners
"USD $1,300 per month","3 bedroom(s), 1 bathroom(s), 2 livingroom(s), 1 basement(s)",House,Active,,"1,375.93 m2",139.35 m2,New Traditional,,
"USD $229,900 per month",,Other,Active,,,185.81 m2,Other,Sheboygan,BOSS REALTY LLC
"USD $2,400 per month",,Other,Active,,"2,832.80 m2",347.27 m2,Other,Walworth,Melges Real Estate LLC
"USD $2,200 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"1,375.93 m2",169.08 m2,Ranch,Pike,Bulldog Realty and Property Management
USD $800 per month,,Other,Active,,"2,832.80 m2",47.85 m2,Other,Carbon,Meisse Real Estate
"USD $1,900 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"1,375.93 m2",110.00 m2,Other,Pike,Keller Williams Real Estate
"USD $1,200 per month","2 bedroom(s), 1 bathroom(s), 2 livingroom(s)",Apartment,Active,,,60.39 m2,Other,Luzerne,ERA One Source Realty
"USD $2,900 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,607.03 m2,146.79 m2,Other,Pinellas,ARCHWATER REALTY
"USD $1,800 per month","2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,,80.94 m2,96.15 m2,Other,Hillsborough,REALTY ONE GROUP ADVANTAGE
"USD $2,900 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",House,Active,,687.97 m2,100.34 m2,Other,Pinellas,EZ CHOICE REALTY
"USD $2,250 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,"1,982.96 m2",95.88 m2,Other,Hillsborough,Cornerstone Realty Services
"USD $7,999 per month","5 bedroom(s), 4 bathroom(s)",House,Active,,485.62 m2,240.25 m2,Other,Hillsborough,"Charles Rutenberg Realty, Inc."
"USD $1,700 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,78.97 m2,Other,Pinellas,"Charles Rutenberg Realty, Inc."
"USD $2,750 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,"7,810.44 m2",121.42 m2,Other,Pinellas,Keller Williams St. Pete Realty
"USD $2,500 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,890.31 m2,155.24 m2,Other,Pinellas,"Coastal Properties Group International, LLC"
"USD $2,800 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,,"1,011.72 m2",208.47 m2,Other,Pinellas,VIRTUAL REALTY INC
"USD $13,500 per month","6 bedroom(s), 6 bathroom(s), 1 livingroom(s)",House,Active,,647.50 m2,449.93 m2,Other,Hillsborough,Keller Williams St. Pete Realty
"USD $4,495 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,2,404.69 m2,106.75 m2,Other,Clark,EVOLVE REALTY
"USD $1,500 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,,117.62 m2,Other,Clark,Jade Realty
"USD $1,100 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,,84.36 m2,Other,Clark,Jade Realty
"USD $3,500 per month","5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,3,566.56 m2,235.32 m2,Other,Clark,Metropolitan Real Estate Group
"USD $2,400 per month","5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,323.75 m2,189.43 m2,Other,Clark,"Signature Real Estate Group, LLC"
"USD $1,850 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,2,445.15 m2,120.12 m2,Other,Clark,"Mark Daniel Perry, LLC DBA Local Realty"
"USD $25,000 per month","5 bedroom(s), 6 bathroom(s), 1 livingroom(s)",House,Active,4,"1,740.15 m2",857.22 m2,Other,Clark,The Agency Las Vegas
"USD $2,995 per month","5 bedroom(s), 4 bathroom(s), 1 livingroom(s)",House,Active,2,526.09 m2,280.75 m2,Other,Clark,Keller n' Jadd
"USD $3,700 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,445.15 m2,154.96 m2,Other,Clark,Metropolitan Real Estate Group
"USD $1,995 per month",1 bathroom(s),House,Active,,,,Other,Kings,PETSES REALTY CO LLC
"USD $1,149 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Timber Ridge
"USD $1,049 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,White Birch
"USD $2,595 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,485.62 m2,188.59 m2,Other,,"La Rosa Realty, Llc"
"USD $1,249 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,White Birch
"USD $1,795 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Silverado
"USD $3,800 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,68.38 m2,Other,Queens,EAST COAST NEW YORK INC
"USD $1,395 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Lakeside Terrace
"USD $1,239 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Holiday West
"USD $1,580 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Byrnwood
"USD $2,700 per month","3 bedroom(s), 3 bathroom(s)",House,Active,2,202.34 m2,132.76 m2,Other,Clark,Berkshire Hathaway HomeServices Nevada Properties
"USD $1,099 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,,,Other,,Holiday Woods
"USD $2,250 per month","4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,2,485.62 m2,164.07 m2,Other,Clark,The Home Shop
"USD $2,250 per month","1 bedroom(s), 1 bathroom(s)",Townhouse,Active,,,69.68 m2,Other,Kings,WHITTEMORE REALTY LLC
"USD $1,775 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,465.39 m2,96.15 m2,Other,Dakota,THR Brokerage IL Inc
"USD $15,000 per month","4 bedroom(s), 5 bathroom(s)",House,Active,2,,232.26 m2,Other,San Diego,The Worland Group
"USD $20,000 per month","5 bedroom(s), 7 bathroom(s)",House,Active,1,,390.19 m2,Mediterranean,San Diego,The Worland Group
"USD $1,500 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,78.97 m2,Other,Miami-Dade,Florida Brokers Real Estate LLC
"USD $3,950 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,1,,83.61 m2,Contemporary,San Diego,Hunter & Maddox International
"USD $2,199 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,922.68 m2,138.98 m2,Other,Hennepin,THR Brokerage IL Inc
"USD $2,085 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"1,092.65 m2",125.98 m2,Other,Anoka,THR Brokerage IL Inc
"USD $1,600 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,"4,653.89 m2",80.27 m2,Other,Hennepin,"Lakes Area Realty of Golden Valley, Inc."
"USD $2,780 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"1,485.20 m2",166.11 m2,Other,Hennepin,THR Brokerage IL Inc
"USD $2,100 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,120.77 m2,Contemporary,Hamilton,KW CLEVELAND Keller Williams
"USD $1,880 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,631.31 m2,122.82 m2,Other,Dakota,THR Brokerage IL Inc
"USD $3,000 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,,,Other,Broward County,Compass
"USD $2,450 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,1,,111.76 m2,Other,Broward County,Charles Rutenberg Realty Fort Lauderdale
"USD $2,200 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,,103.68 m2,Other,Palm Beach County,Realty Professionals of Coral Springs
"USD $3,500 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,1,,123.56 m2,Other,Broward County,Lang Realty
"USD $15,000 per month","5 bedroom(s), 5 bathroom(s)",House,Active,3,,330.55 m2,Other,Palm Beach County,United Realty Group Inc
USD $950 per month,,Other,Active,,"3,853.42 m2",,Other,Broward County,EXP REALTY LLC
"USD $1,850 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,,85.47 m2,Other,Broward County,LoKation Real Estate
"USD $1,800 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,76.92 m2,Other,Broward County,"Realty Professionals of Fort Lauderdale, LLC"
"USD $3,500 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,139.35 m2,Other,Broward County,EXP REALTY LLC
"USD $2,500 per month","3 bedroom(s), 3 bathroom(s)",Apartment,Active,1,,119.38 m2,Other,Broward County,"Sailing Realty, Inc."
"USD $3,300 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,72.00 m2,High Rise,Miami-Dade,West Avenue Realty
"USD $2,200 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,84.54 m2,Other,Miami-Dade,PFS REALTY LLC
"USD $3,300 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,,130.06 m2,Other,Broward,LoKation Real Estate
"USD $2,700 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Active,1,,120.77 m2,Other,Palm Beach County,Charles Rutenberg Realty Fort Lauderdale
"USD $1,750 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,,76.18 m2,Other,Broward County,"Blue Realty Team, LLC"
"USD $1,900 per month",1 bathroom(s),Apartment,Active,,,37.16 m2,Other,Miami-Dade,Miami New Realty
"USD $4,500 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,,,118.36 m2,Other,Miami-Dade,EXP REALTY LLC
"USD $6,000 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Apartment,Active,,,156.08 m2,Other,Palm Beach County,FIRST REALTY SERVICES CORPORATION
"USD $2,200 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,74.32 m2,Other,Broward County,The Keyes Company
"USD $3,500 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,,191.29 m2,Other,Miami-Dade,"Beachfront Realty, Inc"
"USD $2,000 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,86.68 m2,High Rise,Broward,L & L Realty Group
"USD $2,100 per month","1 bedroom(s), 1 bathroom(s)",Townhouse,Active,,,65.78 m2,Other,Miami-Dade,Miami Metro Realty
"USD $3,000 per month","1 bedroom(s), 2 bathroom(s)",Apartment,Active,,,99.87 m2,Other,Miami-Dade,FLORIDA CAPITAL REALTY
"USD $1,900 per month",1 bathroom(s),Apartment,Active,,,42.27 m2,Other,Miami-Dade,Avanti Way Realty
"USD $2,200 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,84.54 m2,Other,Broward,"Beachfront Realty, Inc"
"USD $2,500 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,201.14 m2,Other,Miami-Dade,LoKation Real Estate
"USD $1,650 per month","1 bedroom(s), 2 bathroom(s)",Apartment,Active,,,65.31 m2,Other,Miami-Dade,Avenew Realty Corp.
"USD $2,250 per month","1 bedroom(s), 2 bathroom(s)",Apartment,Active,,,84.82 m2,High Rise,Miami-Dade,Optimar Realty Group LLC
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Active,,,92.35 m2,Other,Miami-Dade,RE/MAX Advance Realty
"USD $3,250 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,,Other,Miami-Dade,LoKation Real Estate
"USD $3,500 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,,163.32 m2,Other,Miami-Dade,LPT Realty LLC
"USD $4,800 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,,,129.88 m2,High Rise,Miami-Dade,One Sothebys International Realty
"USD $1,300 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,35.49 m2,Other,Miami-Dade,Canvas Real Estate
"USD $2,200 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,83.43 m2,Other,Miami-Dade,RE/MAX Advance Realty
"USD $1,900 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,60.39 m2,Other,Miami-Dade,Urban Resource LLC
"USD $2,100 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,120.77 m2,Other,Merrimack,Coldwell Banker Residential Brokerage
"USD $2,250 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,54.63 m2,Other,Miami-Dade,Keyes Company Realtors
"USD $2,000 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,46.54 m2,Other,Miami-Dade,BHHS EWM Realty
"USD $3,600 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,116.13 m2,Other,Miami-Dade,"United Realty Group, Inc"
"USD $1,885 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,91.42 m2,Other,Belknap,"Brady Sullivan Properties, LLC"
"USD $2,500 per month","2 bedroom(s), 1 bathroom(s), 1 basement(s)",House,Active,,"23,067.10 m2",148.64 m2,Other,Cheshire,Greenwald Realty Associates
"USD $2,500 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Active,,,132.67 m2,Other,Duval,"Keller Williams Realty, Atlantic Partners"
"USD $2,695 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,151.43 m2,Other,Duval,Horizon Realty of Northeast Florida LLC
"USD $1,900 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,50.35 m2,Other,Miami-Dade,Miami New Realty
USD $995 per month,"1 bedroom(s), 1 bathroom(s)",Apartment,Active,,687.97 m2,66.24 m2,Other,Duval,"Spectrum Realty Services, LLC"
"USD $628,000 per month",,Other,Active,,647.50 m2,,Other,Des Moines,Century 21/Property Profession
"USD $3,000 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,94.20 m2,Other,Palm Beach,Related ISG Realty
"USD $2,550 per month",1 bathroom(s),Apartment,Active,,,44.78 m2,High Rise,Broward,SUITO INTERNATIONAL REALTY
"USD $1,850 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"1,805.71 m2",127.09 m2,Other,Henrico,Joyner Fine Properties
"USD $8,800 per month","4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",House,Active,2,510.97 m2,285.58 m2,Modern,Orange,
"USD $3,250 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,148.83 m2,Other,Miami-Dade,Florida Realty of Miami
"USD $3,690 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,3,605.82 m2,195.28 m2,Other,,
"USD $3,100 per month","3 bedroom(s), 3 bathroom(s)",Apartment,Active,,,128.21 m2,Other,Miami-Dade,Miami New Realty
"USD $4,950 per month","3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",House,Active,2,393.63 m2,223.25 m2,Contemporary,,
"USD $2,150 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,445.15 m2,147.16 m2,Other,Bexar,Vortex Realty LLC
"USD $2,400 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,,647.50 m2,256.60 m2,Other,Guadalupe,Patriot Realty
"USD $2,900 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,2,577.11 m2,97.55 m2,Other,Los Angeles,
"USD $13,500 per month","5 bedroom(s), 5 bathroom(s), 1 livingroom(s)",House,Active,3,"1,075.72 m2",471.02 m2,Other,Orange,
"USD $2,250 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,89.19 m2,Other,Miami-Dade,Keller Williams Realty
"USD $30,000 per month","3 bedroom(s), 5 bathroom(s)",Apartment,Active,,,259.85 m2,High Rise,Miami-Dade,"Miles Goldstein Real Estate, LLC"
"USD $5,500 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,2,"4,216.59 m2",133.69 m2,Other,Los Angeles,
"USD $2,850 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,112.41 m2,Other,Broward,"Beachfront Realty, Inc"
"USD $1,850 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,66.15 m2,Other,Miami-Dade,RE/MAX Advance Realty
"USD $3,300 per month","2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,117.15 m2,Other,Orange,
"USD $6,500 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,2,661.38 m2,148.74 m2,Craftsman,Orange,
"USD $2,100 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,127.28 m2,Other,Miami-Dade,Avenew Realty Corp.
"USD $2,800 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,1,,163.51 m2,Other,Palm Beach,RE/MAX Services
"USD $3,900 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,745.45 m2,183.95 m2,Other,San Bernardino,
"USD $5,150 per month","5 bedroom(s), 4 bathroom(s), 1 livingroom(s)",House,Active,2,462.84 m2,255.48 m2,Other,Orange,
"USD $1,400 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,1,80.94 m2,58.71 m2,Other,Nueces,Palm Bay Rentals & Sales
"USD $1,950 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,481.58 m2,160.82 m2,Other,Bexar,Home Team of America Realtors
"USD $1,500 per month",,Other,Active,5,"1,173.59 m2",113.34 m2,New Traditional,Garland,Coldwell Banker Rector Phillips Morse - Hot Springs
"USD $2,300 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,566.56 m2,178.00 m2,Other,Brevard,RE/MAX Elite
"USD $2,800 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,849.84 m2,,Colonial,Suffolk,Keller Williams Landmark II
"USD $3,950 per month","4 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,166.30 m2,Other,Broward,Keyes Company Realtors
"USD $3,275 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,,157.01 m2,Other,Miami-Dade,Real Estate Sales Force
"USD $4,700 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,1,92.90 m2,109.07 m2,Other,Orange,
"USD $6,000 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s), 2 basement(s)",Townhouse,Active,1,566.99 m2,148.64 m2,Modern,,
"USD $1,750 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,2,"1,208.48 m2",65.03 m2,New Traditional,Los Angeles,
"USD $3,200 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,58.34 m2,High Rise,Miami-Dade,Compass Florida LLC
"USD $7,900 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,2,668.44 m2,161.28 m2,Modern,,
"USD $1,700 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,,,,Other,Bexar,"EXP Realty, LLC"
"USD $6,000 per month","5 bedroom(s), 3 bathroom(s)",House,Active,,,192.50 m2,Other,Miami-Dade,Charles Rutenberg Realty Fort Lauderdale
"USD $3,000 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Active,,,126.63 m2,Other,Miami-Dade,"Beachfront Realty, Inc"
"USD $1,700 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,80.83 m2,Other,Broward,The Cardenas Group Realty
"USD $8,750 per month",,Other,Active,,,325.16 m2,Other,Los Angeles,Dream Team Real Estate Consultants. Inc
"USD $1,700 per month","2 bedroom(s), 1 bathroom(s), 1 basement(s)",House,Active,,809.37 m2,91.51 m2,Bungalow,Monroe County,Bloomington Rentals and Realty
"USD $3,400 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,123.10 m2,Cape Cod,Orange,
"USD $1,450 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,,857.93 m2,123.00 m2,Other,Bexar,"K Clark Realty & Associates, LLC."
"USD $1,795 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,"1,023.86 m2",115.66 m2,Other,Bexar,Suburban Spaces
"USD $2,400 per month",1 bathroom(s),Apartment,Active,,613.16 m2,32.52 m2,Other,Los Angeles,Fathom Realty Group Inc.
"USD $1,750 per month","2 bedroom(s), 1 bathroom(s), 1 basement(s)",House,Active,,809.37 m2,63.64 m2,Other,Monroe County,Bloomington Rentals and Realty
"USD $2,000 per month","1 bedroom(s), 2 bathroom(s)",Apartment,Active,,,74.79 m2,Other,Broward,Keyes Company Realtors
"USD $7,500 per month","5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,2,337.52 m2,246.01 m2,Other,Orange,
"USD $3,300 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Townhouse,Active,2,181.16 m2,113.62 m2,Bungalow,Orange,
"USD $1,850 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,530.14 m2,133.04 m2,Other,Baldwin,Realty Executives Gulf Coast
"USD $2,195 per month","1 bedroom(s), 1 bathroom(s)",Townhouse,Active,1,603.87 m2,55.74 m2,Other,Los Angeles,
"USD $2,300 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,87.33 m2,Other,Miami-Dade,Lifestyle International Realty
"USD $1,650 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,76.74 m2,Other,Miami-Dade,Avanti Way Realty
"USD $3,000 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,100.34 m2,Other,Miami-Dade,Lifestyle International Realty
"USD $2,000 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,76.18 m2,Other,Broward,LoKation Real Estate
"USD $2,500 per month",,Other,Active,,,,Other,Broward,DecoNova International Realty Inc
"USD $3,500 per month","4 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,162.58 m2,Other,Miami-Dade,Douglas Elliman
"USD $1,375 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,1,,94.76 m2,New Traditional,St Charles,Mirowitz Real Estate Investments
"USD $1,300 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,557.25 m2,71.35 m2,Ranch,Madison-IL,resper group real estate
"USD $1,500 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,101.26 m2,Other,St Louis City,The Hermann London Group
USD $680 per month,"1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Other,Active,,"1,740.15 m2",60.20 m2,Ranch,Noble County,Hatcher Real Estate LLC
"USD $3,000 per month","1 bedroom(s), 2 bathroom(s)",Apartment,Active,3,,86.59 m2,Other,Hudson,"eXp Realty, LLC"
"USD $2,980 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,,Contemporary,Hudson,Liberty Realty
"USD $2,200 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,83.61 m2,Other,Hudson,REMAX VILLA REALTORS
"USD $1,750 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,111.48 m2,Other,Union,ACCESS HOME REALTY
"USD $2,800 per month","3 bedroom(s), 1 bathroom(s)",Apartment,Active,,,111.48 m2,Other,Bergen,COLDWELL BANKER RESIDENTIAL BROKERAGE
"USD $2,000 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,,Other,Hudson,Liberty Realty
"USD $3,400 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,1,,69.68 m2,Other,Hudson,"eXp Realty, LLC"
"USD $2,900 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Active,,,133.78 m2,Other,Passaic,ACCESS HOME REALTY
"USD $2,700 per month",,Other,Active,,,,Other,Hudson,"Real Broker, LLC"
"USD $2,300 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,3,,,Other,Hudson,REMAX VILLA REALTORS
